ed_code,name,population
35078,Ottawa--Vanier,118806
35079,Ottawa West--Nepean,116409
35080,Oxford,124790
35081,Parkdale--High Park,106750
35082,Parry Sound--Muskoka,104494
35083,Perth--Wellington,113910
35084,Peterborough--Kawartha,125478
35085,Pickering--Uxbridge,120742
35086,Renfrew--Nipissing--Pembroke,107420
35087,Richmond Hill,114180
35088,Carleton,131375
35089,St. Catharines,114782
35090,Toronto--St. Paul's,116953
35091,Sarnia--Lambton,107077
35092,Sault Ste. Marie,79331
35093,Scarborough--Agincourt,104423
35094,Scarborough Centre,113104
35095,Scarborough--Guildwood,103449
35096,Scarborough North,94717
35097,Scarborough--Rouge Park,102254
35098,Scarborough Southwest,111994
35099,Simcoe--Grey,151784
35100,Simcoe North,120656
35101,Spadina--Fort York,136213
35102,Stormont--Dundas--South Glengarry,104493
35103,Sudbury,95537
35104,Thornhill,115292
35105,Thunder Bay--Rainy River,82357
35106,Thunder Bay--Superior North,83325
35107,Timmins--James Bay,80785
35108,Toronto Centre,119901
35109,Toronto--Danforth,105472
35110,University--Rosedale,106216
35111,Vaughan--Woodbridge,106810
35112,Waterloo,127235
35113,Wellington--Halton Hills,127873
35114,Whitby,138501
35115,Willowdale,118218
35116,Windsor--Tecumseh,122798
35117,Windsor West,130162
35118,York Centre,108307
35119,York--Simcoe,124458
35120,York South--Weston,116757
35121,Humber River--Black Creek,111593
46001,Brandon--Souris,89812
46002,Charleswood--St. James--Assiniboia--Headingley,84767
46003,Churchill--Keewatinook Aski,81258
46004,Dauphin--Swan River--Neepawa,89503
46005,Elmwood--Transcona,101691
46006,Kildonan--St. Paul,91480
46007,Portage--Lisgar,100417
46008,Provencher,109445
46009,Saint Boniface--Saint Vital,95514
46010,Selkirk--Interlake--Eastman,101373
46011,Winnipeg Centre,87499
46012,Winnipeg North,101221
46013,Winnipeg South,113370
46014,Winnipeg South Centre,94803
47001,Battlefords--Lloydminster,70918
47002,Cypress Hills--Grasslands,68314
47003,Desnethé--Missinippi--Churchill River,71488
47004,Carlton Trail--Eagle Creek,83395
47005,Moose Jaw--Lake Centre--Lanigan,80547
47006,Prince Albert,80845
47007,Regina--Lewvan,98492
47008,Regina--Qu'Appelle,78140
47009,Regina--Wascana,89087
47010,Saskatoon--Grasswood,93277
47011,Saskatoon--University,88348
47012,Saskatoon West,87855
47013,Souris--Moose Mountain,70579
47014,Yorkton--Melville,71220
48001,Banff--Airdrie,155580
48002,Battle River--Crowfoot,107979
48003,Bow River,119458
48004,Calgary Centre,130010
48005,Calgary Confederation,124064
48006,Calgary Forest Lawn,107939
48007,Calgary Heritage,109141
48008,Calgary Midnapore,129110
48009,Calgary Nose Hill,115287
48010,Calgary Rocky Ridge,145326
48011,Calgary Shepard,163447
48012,Calgary Signal Hill,122818
48013,Calgary Skyview,159642
48014,Edmonton Centre,109125
48015,Edmonton Griesbach,111699
48016,Edmonton Manning,132224
48017,Edmonton Mill Woods,125992
48018,Edmonton Riverbend,124144
48019,Edmonton Strathcona,102188
48020,Edmonton West,134194
48021,Edmonton--Wetaskiwin,209431
48022,Foothills,115118
48023,Fort McMurray--Cold Lake,110163
48024,Grande Prairie--Mackenzie,119586
48025,Lakeland,105993
48026,Lethbridge,123847
48027,Medicine Hat--Cardston--Warner,108391
48028,Peace River--Westlock,107223
48029,Red Deer--Mountain View,120739
48030,Red Deer--Lacombe,131575
48031,St. Albert--Edmonton,130822
48032,Sherwood Park--Fort Saskatchewan,126313
48033,Sturgeon River--Parkland,124849
48034,Yellowhead,99218
59001,Abbotsford,110331
59002,Burnaby North--Seymour,108794
59003,Burnaby South,120305
59004,Cariboo--Prince George,111226
59005,Central Okanagan--Similkameen--Nicola,122340
59006,Chilliwack--Hope,112037
59007,Cloverdale--Langley City,130665
59008,Coquitlam--Port Coquitlam,132004
59009,Courtenay--Alberni,125116
59010,Cowichan--Malahat--Langford,124247
59011,Delta,110721
59012,Fleetwood--Port Kells,124987
59013,Kamloops--Thompson--Cariboo,135492
59014,Kelowna--Lake Country,136290
59015,Kootenay--Columbia,120759
59016,Langley--Aldergrove,133168
59017,Mission--Matsqui--Fraser Canyon,101216
59018,Nanaimo--Ladysmith,134509
59019,New Westminster--Burnaby,125253
59020,North Okanagan--Shuswap,136520
59021,North Vancouver,123025
59022,Pitt Meadows--Maple Ridge,110416
59023,Port Moody--Coquitlam,114853
59024,Prince George--Peace River--Northern Rockies,108998
59025,Richmond Centre,107707
59026,Esquimalt--Saanich--Sooke,128644
59027,Saanich--Gulf Islands,113541
59028,Skeena--Bulkley Valley,89689
59029,South Okanagan--West Kootenay,123487
59030,South Surrey--White Rock,119672
59031,Steveston--Richmond East,102230
59032,Surrey Centre,131670
59033,Surrey--Newton,122264
59034,Vancouver Centre,126995
59035,Vancouver East,118675
59036,Vancouver Granville,109799
59037,North Island--Powell River,111825
59038,Vancouver Kingsway,108054
59039,Vancouver Quadra,109328
59040,Vancouver South,109339
59041,Victoria,123482
59042,West Vancouver--Sunshine Coast--Sea to Sky Country,131206
60001,Yukon,40232
61001,Northwest Territories,41070
62001,Nunavut,36858
